순위,제목,아이디,종류,URL,장르,방영일,회차,채널,연령등급,제작국가,제작연도,줄거리,리뷰,배우,오리지널,개봉일,러닝타임,개봉예정일,원제,방영예정일
50,콘클라베,138720,영화,https://m.kinolights.com/title/138720,"스릴러, 서사/드라마",,,,12세 이상 관람가,"영국, 미국",2024년,"바티칸의 비밀스러운 의식, 콘클라베. 새 교황 선출을 앞두고 유력 후보들의 추악한 비밀이 드러나며 교회는 위기에 빠진다. 로렌스 추기경은 신앙과 현실 사이에서 고뇌하며 교회의 운명을 좌우할 결정을 내려야 한다.","종교, 정치, 사회, 인종 등을 아우르는 올바름에 대한 함의 | 한 번에 3~4마리 토끼 정도는 잡은 듯한 영화 | 교황 선거 얘기가 이렇게 재밌을 이유가 있나 | 누구나 추악한 면을 가지고 있다. 그걸 잘 감추는 사람과 잘 감추지 못하는 사람, 그리고 감출 생각도 없는 사람만 있을 뿐. | 외부와 단절된 채 이상적인 교황을 뽑겠다는 건 꿈깨라는 듯 창문이 깨지고 밖은 폭탄이 터진다. | 근래 본 영화 중 제일 재미있고 의미도 있고 아름다웠는데 아카데미 각색상 하나라니 믿을 수 없어. 엔딩에 박수칠 뻔. | 2시간이 순식간에 지나갔다. 콘클라베가 정치판으로 변하는 과정과 미장센, 로렌스의 표정변화는 압권. 이번 아카데미 수상작 중 제일 즐겁게 본 영화. | 믿음은 믿음 속에서 썩어만 가고, 의심과 확인 속에서 피어난다 | 아카데미 작품상을 이 작품이 받았어야헸다 | 콘클라베","랄프 파인즈, 야첵 코먼, 루시안 므사마티, 스탠리 투치, 존 리스고, 토마스 로이블, 브라이언 F. 오바이런, 이사벨라 로셀리니, 로니 크레이머, 세르지오 카스텔리토, 조셉 마이델, 게릭 헤이건, 메라브 니니제, 투샤르 마드하브, 로리스 로디, 로무알드 안드레이 클로즈",,2025년 03월 05일 개봉,120분,,Conclave,
51,베놈: 라스트 댄스,134780,영화,https://m.kinolights.com/title/134780,"액션, SF, 스릴러",,,,15세 이상 관람가,미국,2024년,환상의 케미스트리의 에디 브록과 그의 심비오트 베놈은 그들을 노리는 정체불명 존재의 추격을 피해 같이 도망을 다니게 된다. 한편 베놈의 창조자 널은 고향 행성에서부터 그들을 찾아내기 위해 지구를 침략하고 에디와 베놈은 그동안 겪어보지 못한 최악의 위기를 맞이하게 되는데...,베놈(별 활약 없음): 라스트(아님) 댄스(왜 춤?) | I won’t forget you buddy. | 베놈 에디에게 애정을 갖고 재밌게 보긴 봤는데... 진짜 개연성은 찾아볼래야 찾을수가없음... 원래 베놈시리즈에 개연성은 없긴했지만 하... | 이야기의 흐름이 뜬금없을 때가 많지만.. 그래도 나는 베놈이 그냥 좋다. 그것 또한 베놈의 매력이니까! 귀엽고 매력 넘치는 널 당연히 나는 잊지 않을 거야.😆 | 불필요한 상황과 끼워 맞춘 설정과 정신 나간 전개에 얼척없이 고통 받는 베놈 타이틀의 최종장? | 1편의 베놈은 어디로?? | 정말 베놈다운 마무리. 개연성 개나 준 C급 영화 | 재밌다 그런데 결말은 좀 바꿔주라 | 좋은 포인트들이 곳곳에 숨어있는 의외로 괜찮았던 영화 | 아 쓰레기네 이거 누가 시나리오 썼냐 정말 더 마블스 급이다,"톰 하디, 치웨텔 에지오포, 주노 템플, 리스 이판, 페기 루, 알라나 우바치, 스티븐 그레이엄, 클라크 바코, 할라 핀리, 브룩 카터, 이보 낸디, 앤디 서키스, 오티스 윈스턴, 크리스토 페르난데스",,2024년 10월 23일 개봉,108분,,Venom: The Last Dance,
52,빌런의 나라,140867,드라마,https://m.kinolights.com/title/140867,"코미디, 서사/드라마",2025년 03월 19일,24부작,KBS 2TV,15세 이상 시청가,한국,2025년,K-줌마 자매와 똘끼 충만 가족들의 때론 거칠면서도 때론 따뜻한 일상을 담은 시추에이션 코미디 드라마,생각없이 편하게 보면서 웃는 드라마에요~~은근 잼있어요~~~ㅎㅎㅎㅎㅎㅎㅎ,"오나라, 소유진, 서현철, 송진우, 박영규, 최예나, 한성민, 정민규, 은찬",,,,,,
53,소년의 시간,141668,드라마,https://m.kinolights.com/title/141668,"스릴러, 서사/드라마, 범죄",,4부작,넷플릭스,15세 이상 시청가,영국,2025년,"13세 소년이 반 친구를 살해한 혐의를 받았을 때, 그의 가족, 치료사, 사건을 담당한 형사는 모두 무슨 일이 실제로 일어났는지 의문을 품게 되었다.","“우리 아이는 방에만 있어서 아무일 없을 줄 알았어요”라고 말할 수 있는 시대는 이미 한참 전에 지나갔다. | 한시간 원 테이크 샷이 좋은 화가 있고 안좋은 화가 있습니다. 신기하고, 몰입감이 유지되어 좋습니다. | 아빠 역 연기자 분 짠하네요. | 원테이크 촬영처럼 인생은 편집이 아닌 연속적인 순간들의 모음집이다 | 에피소드마다 고유의 냄새로 시작한다. 1회 사과, 2회 구토 양배추 자위가 섞인 냄새, 3회 마시멜로 가득 올린 핫초코, 4회 50살 생일맞이 성대한 아침메뉴. | 주제는 매우 의미있고 필요한 담론이라고 생각하지만, 그리 재미는 없다. 원테이크도 연극을 좋아하는 영국 특성인것 같은데, 지루하고 화면이 어지럽게 느껴진다. | 원테이크로 찍었다는 것에 대한 호기심으로 시작했다가 묵직하게 누르는 스토리에 깊생하게 된다 | 원테이크 신선하고 몰입감이 좋았지만 화면이 어지러워ㅠㅠ 부자 연기 너무 좋았지만 보는 내내 기분이 썩 좋지않아 | 이런 세상에서 아이들을 어떻게 길러낼 것인가, 어떻게 지켜낼 것인가. | 보고 나서 여운이 길게 남았다","애슐리 월터스, 오웬 쿠퍼, 스티븐 그레이엄, 페이 마르세이, 크리스틴 트레마코, 에린 도허티, 조 하트리, 오스틴 헤인스, 아멜리 피스, 마크 스탠리, 해나 월터스, 더글러스 러셀, 멜리사 존스, 페이 맥키버, 네일 벨, 코너 캘런드",,,,,Adolescence,
54,히든 페이스,102302,영화,https://m.kinolights.com/title/102302,"멜로/로맨스, 서사/드라마",,,,청소년 관람불가,한국,2022년,"지휘자 성진이 이끄는 오케스트라의 첼리스트이자 약혼녀 수연이 어느 날 영상 편지만을 남겨둔 채 자취를 감춘다. 성진은 수연을 잃은 상실감에 고통스러워하지만, 그녀를 대신한 첼리스트 미주에게 강한 끌림을 느낀다. 비 오는 밤, 서로의 욕망에 휩쓸린 성진과 미주는 수연의 ...","각자의 욕망의 발견된 그곳. 서로 행복하면 된거야. 원작 보더 더 나아간 반전에서..'헉'. 한국 상업영화에서 보기 드문 서사. | 몰입도최고 | 자극이라는 벽 속에 갇혀버린 주제의식 | 긴장감 빠진 스릴러잖아! 이게 뭔 영화야? 보고 싶지도 않은 정사씬이 너무 길어! | 박지현과 조여정의 선후배없는 연기배틀 (송승헌은 늘 그렇듯 아쉬워) | 동성애 영화네요!~~~~ | 두 여배우 연기 외에는 별로. 웬 731부대 설명까지. 비쥬얼도 인간중독만 못 함. | 어저께 시사회에서 봤습니다. 넷플에서 원작도 봤는데 원작보다 구성이 매끄럽고, 각색이 잘 된 느낌이었습니다. 수위는 높지만 예쁘게 보여져서 괜찮았습니다. 마지막 의외의 결말! | 의외로 몰입도 높은 에로틱 스릴러. 박지현의 강렬한 연기 | 원작과 전혀 다른 장르로 제작한 건 좋은데, 심각한 졸작이 되어버렸네?","송승헌, 조여정, 박지현, 박지영, 박성근, 변중희, 주예린, 윤세웅, 심우성, 차미경",,2024년 11월 20일 개봉,115분,,,
55,라스트 마일,129786,영화,https://m.kinolights.com/title/129786,"액션, 스릴러, 범죄",,,,12세 이상 관람가,일본,2024년,세계 최대 쇼핑 사이트 Daily Fast에서 배송된 택배를 통한 의문의 연쇄 폭탄 테러와 이에 맞선 사람들의 사투를 그린 논스톱 서스펜스 스릴러,"영화로서는 아쉬움이 많았고 두 드라마의 팬으로는 반가웠다. 그러나 이건 드라마가 아닌 영화여야 한다. 결국 노기 아키코와 츠카하라 아유코도 일본 영화 산업의 한계는 어쩔 수 없나. | 라스트마일 시사회 리뷰 | 돈보다 사람을 먼저 생각해보라는 메시지가 담긴 영화!! | 평범한 사람들이 세상을 구하는 이야기가 보고 싶다면 | 갑자기 확 졸린다 카메오들은 왜 이리 많이 쓴거지 | 우리는 모두 노동자이니, 따뜻한 마음으로 연대하자. | 풍자는 의도는 알겠으나 연출이 매끄럽지 못 하고 연기도 부족함 | 모두가 죽어나가도 택배는 멈추지 않는다 | 출연진의 분량은 많지 않았지만 언내추럴과 MIU404 팬이라면 반가울 영화. 그리고 우리가 주문한 상품이 배송되기위해 유통업체에서 얼마나 많은 인력들을 갈아넣었는지 생각하게 됨. | 가전제품은 비싸도 좋은 걸 써라","미츠시마 히카리, 오카다 마사키, 아베 사다오, 이시하라 사토미, 딘 후지오카, 히노 쇼헤이, 우노 쇼헤이, 오오쿠라 코지, 사코 요시, 안도 타마에, 마루야마 토모미, 아야노 고, 이우라 아라타, 호시노 겐, 쿠보타 마사타카, 하시모토 준",,2025년 03월 26일 개봉,128분,,ラストマイル,
56,A MINECRAFT MOVIE 마인크래프트 무비,139801,영화,https://m.kinolights.com/title/139801,"판타지, 어드벤처, 코미디",,,,12세 이상 관람가,"미국, 스웨덴",2025년,왕년의 게임 챔피언이었지만 지금은 폐업 직전의 게임샵 주인이 된 개릿과 엄마를 잃고 낯선 동네로 이사 온 남매 헨리와 나탈리 그리고 그들을 돕는 부동산 중개업자 던. 이들은 개릿이 수집한 큐브가 내뿜는 신비한 빛을 따라가다 어느 폐광 속에 열린 포털을 통해 미지의 공간...,,"제이슨 모모아, 잭 블랙, 다니엘 브룩스, 엠마 마이어스, 세바스찬 유진 한센, 제니퍼 쿨리지, 맷 베리, 케이트 맥키넌",,,100분,2025년 04월 26일 개봉,A Minecraft Movie,
57,길바닥 밥장사,139998,예능,https://m.kinolights.com/title/139998,"버라이어티, 리얼리티",2025년 04월 08일,,JTBC,15세 이상 시청가,한국,2025년,국민 레시피 류수영 X 미슐랭 셰프 파브리가 스페인 길바닥에 떴다! 벽도 지붕도 없는 움직이는 주방 ’푸드바이크‘를 타고 펼치는 한식 신대륙 개척기,편집으로 불협화음을 강조하는것도 능력인가 싶다.,"류수영, 이태리 파브리, 황광희, 전소미, 신현지, 배인혁",,,,,,
58,백수아파트,140192,영화,https://m.kinolights.com/title/140192,"미스터리, 코미디, 서사/드라마",,,,12세 이상 관람가,한국,2024년,"아침부터 저녁까지 조카와 함께 동네의 모든 민원을 나서서 처리하는 오지라퍼 백수 거울은 동생 두온과 다투고 반강제적으로 독립한다. 묻지도 따지지도 않고 입주한 백세아파트에서의 첫날 밤 새벽 4시 알 수 없는 소리에 잠을 설친 거울은 아파트 주민인 경석과 지원, 샛별을 ...","“층간소음처럼 스며드는 긴장감, 웃음과 스릴이 교차하는 의외의 한 방!” | 편안하게 즐길 수 있는 가족 코미디 영화 무해한 웃음으로 마무리할 수 있어 가족과 함께 봐도 좋은 영화 | 역시 가장 무서운건 동네에 시간남고 심심한 오지라퍼. 재미있게 봤어요 | 한가한 백수더라도 정의구현하는 용사가 될수있다.. 이런 백수는 ㅇㅈ한다. 근데 이상하게 주인공이 크게 매력적이지 않았다.. 무난하게 볼만한 한국영화. 한미녀 나와서 새삼 반가웠다. | 세상에서 제일 무서운 것은 백수. | 층간 소음 이슈와 불의를 참지 않는 주인공이 만난 유쾌한 시너지 | 개봉 첫주에 본 영화.. 배우들의 연기가 괜찮았고 어느정도의 화끈함도 있긴 했다 | 아빠가 아들만 챙기고 딸래미에 대한 언급이 없을때 알아봤다.. 저예산 영화라도 이런 영화 좋다 | 제법이네 이 영화 | 무심한 시대, 신경 켜고 살아가는 일의 우연과 기적","경수진, 고규필, 이지훈, 김주령, 최유정, 정희태, 박정학, 차우진, 배재영, 박현영, 김세아, 허준석, 김찬형",,2025년 02월 26일 개봉,97분,,,
59,기동전사 건담 지쿠악스 비기닝,141571,"영화, 애니메이션",https://m.kinolights.com/title/141571,"액션, SF, 어드벤처, 서사/드라마, 애니메이션",,,,12세 이상 관람가,일본,2025년,고등학생 아마테 유즈리하는 우주 공간에 떠다니는 우주 식민지에서 평화롭게 살고 있습니다. 하지만 전쟁 난민인 냐안을 만나게 되면서 아마테는 클랜 배틀이라는 불법 기동복 결투 스포츠에 빠져들게 됩니다. 기동복 건담 GQuuuuuuuX의 첫 몇 에피소드를 연극적으로 편집한...,"건담의 더 화려한 연출이 보고 싶었다 | 미소녀와 건담, 쿨하고 모던한 연출. 캐치한 스타일로 그려낸 “기동전사 건담” | '건담의 뉴,뉴,뉴,뉴,뉴비모집 영화' | 이전 새대와 신 새대들을 한꺼번에 사로 잡는 법을 안노는 이미 알고 있었다 | 본방사수하겠습니다!! | 본편은 우주세기 분위기는 아니지만 우주세기 팬들과 연결을 하기 위한 연결 시도는 칭찬할만 하다","쿠로사와 토모요, 이시카와 유이, 츠치야 신바, 이세 마리야, 도쿠모토 유키토시, 에치고야 고스케, 치바 쇼야, 쿠기미야 리에, 나가노 유우스케, 카와다 신지, 야마시타 세이이치로, 후지타 아카네, 신 유키, 고토 코우스케, 타케다 타이치",,2025년 04월 02일 개봉,81분,,機動戦士Gundam GQuuuuuuX Beginning,
60,서브스턴스,133258,영화,https://m.kinolights.com/title/133258,"스릴러, 서사/드라마, 공포(호러)",,,,청소년 관람불가,"영국, 미국",2024년,"할리우드의 몰락한 스타, 엘리자베스. 50세 생일날 해고당하고 절망에 빠진 그녀에게 신비한 약물 '서브스턴스'가 주어진다. 젊고 아름다운 '수'로 변신한 엘리자베스. 하지만 이 변신의 대가는 상상을 초월한다. 젊음과 성공을 향한 광기 어린 욕망이 그녀를 파멸의 길로 이...","부위별로 나눠서 품평하고, 오래되면 신선하지 않다고 버려진다면 인간은 한낱 고깃덩어리와 다를 바 없다 | 찬란하고 기괴하며, 역겨우면서도 아름다운 영화. 씨발. | 영화 서브스턴스 뜻 정보 출연진 관람평점 줄거리 리뷰 결말 후기 스포 쿠키 외모지상주의를 신랄하게 비판하는 하드고어 영화추천 | 다 좋은데 마지막에 분수쇼는 좀... | 자신의 모든 걸 싫어해 본 사람들에게 바치는 영화 | 친절히 뇌뚜껑을 직접 열고 쑤셔 넣어주는 메시지. | 미디어에 의해 극단적으로 요구되는 아름다움에 대한 잔혹하고도 슬픈 풍자 | 외모보다는내면의아름다움이중요하다 | 롤코탔는데 내려주지않음 영원히","데미 무어, 마가렛 퀄리, 데니스 퀘이드, 고어 애브람스, 휴고 디에고 가르시아, 오스카 르사쥬, 조셉 발데라마, 고어 애브람스, 매튜 겍지, 알렉산드라 바튼, 필립 쉬우러, 다니엘 나이트, 올리비에 레이날, 티파니 호프스테터, 로빈 그리어, 톰 모튼",,2024년 12월 11일 개봉,140분,,The Substance,
61,백설공주,114868,영화,https://m.kinolights.com/title/114868,"판타지, 어드벤처, 뮤지컬, 멜로/로맨스",,,,전체 관람가,미국,2024년,"눈보라가 몰아치던 겨울 밤 태어난 백설공주. 온정이 넘치던 왕국에서 모두의 사랑을 받았지만, 강력한 어둠의 힘으로 왕국을 빼앗은 여왕의 위협에 숲으로 도망친다. 마법의 숲에서 간신히 살아남은 백설공주는 신비로운 일곱 광부들과 만나게 되며 새로운 세상을 마주하고, 마음속...","내면의 아름다움을 노래하면서 존잘 남주는 포기못하는 위선. | 진심도 담겨있지않은 공식처럼 찍어낸 영화를 돈내고 본다는것은 정말 슬픈일이다. 새로운것 하나 없는 PC강박주의. 공식에 맞춰 스토리도 우겨 넣어 재미도 없다. 뮤지컬씬은 괜찮다. | 자기객관화도 안 되는 주제에 세상에 귀 기울이는 척 주책을 떨고 주관적인 척 유세 떨고 치장하기 바빠 설득력이 없는 얄팍한 결과물이었다. | 스토리 이게 맞아여? | 사람은 다이이몬드를 꿈꾸지만, 결국 장미를 안고 운다. — fairest한 자에 대한 21세기의 해석. | 재미없을 수 없는 내용으로 재미없게 만드는 것도 능력이지 않을까? 백번 양보해서 시대에 따라 포장지는 바뀐다고 치더라도 영화자체가 지루하고 재미가 없다. | pc가 디즈니를 망치고있다. 원작이 있는 작품을 왜이렇게까지 하는지 이해가 안된다 pc를 하고 싶으면 세작품을 만들어라고 | 백설공주의 피부색이 문제가 아니라 매력적이지 못 한 외모와 설정 때문에 욕을 더 먹는 느낌을 받았다. 악당인 여왕이 나올 때 더 재미있다니... | 비슷하다고 눈썰매장을 스키장이라 부를수는 없는거다 | 하도 스토리를 짓이겨놔서 이제는 여왕이 백설공주를 왜 해치려 하는지도 잘 모르겠다","레이첼 지글러, 갤 가돗, 앤드류 버냅, 마틴 클레바, 제레미 스위프트, 제이슨 크라비츠, 조지 살라자르, 타이터스 버지스, 앤디 그로텔루센, 앤드루 바스 펠드먼, 에밀리아 포셰, 하들리 프레이저, 로레나 안드레아, 패트릭 페이지, 안수 카비아, 조지 애플비",,2025년 03월 19일 개봉,109분,,Snow White,
62,타이타닉,14043,영화,https://m.kinolights.com/title/14043,"멜로/로맨스, 서사/드라마",,,,15세 이상 관람가,미국,1997년,"우연한 기회로 티켓을 구해 타이타닉호에 올라탄 자유로운 영혼을 가진 화가 ‘잭’(레오나르도 디카프리오)은막강한 재력의 약혼자와 함께 1등실에 승선한 ‘로즈’(케이트 윈슬렛)에게 한눈에 반한다. 진실한 사랑을 꿈꾸던 ‘로즈’ 또한 생애 처음 황홀한 감정에 휩싸이고, 둘은...","일요일 낮 세상에서 가장 편한 자세로 티비를 보다가 우연히 중간부터 감상해도 인생 영화로 등극할 수 있는 유일무이한 작품 | 매번 볼때마다 감동이 밀려드는 작품 | 디카프리오의 전성기 | 한번쯤은 영화관에서 다시 보고 싶은 영화 | 로맨스란 이런것이다. | 최고의 작품 볼때마다 눈을 흘리며 보게되는 영화입니다 스토리에 음악까지 완벽 !! | 우리는 흔히 영화를 종합 예술이라고 말한다. 그렇기 때문에, 영화는 단 한 가지로 평가할 수 없다. 그리고 <타이타닉>은 모든 부분에서 뛰어나다. 주연부터 조연까지 모두가 연기 ... | 이토록 완벽한 영화라니👍 디카프리오의 리즈 시절을 볼 수 있어서 행복 | 인생 영화. 레오나르도 디카프리오. 크- | 웅장한 바다씬과 바다위에표류되며 잭이름을말하는장면으누잊지못한다","레오나르도 디카프리오, 케이트 윈슬렛, 빌리 제인, 캐시 베이츠, 프란시스 피셔, 대니 누치, 글로리아 스튜어트, 버나드 힐, 조나단 하이드, 빅터 가버, 데이비드 워너, 수지 에이미스, 빌 팩스톤, 루이스 아버너디, 니콜라스 카스콘, 제이슨 배리",,"2023년 02월 08일 재개봉
1998년 02월 20일 개봉",195분,,Titanic,
63,노보케인,139552,영화,https://m.kinolights.com/title/139552,"액션, 스릴러, 코미디",,,,청소년 관람불가,미국,2025년,"모든 것이 평범 그 자체! 그러나 단 한가지 비범한 능력을 지닌 네이선, 칼에 찔리고, 총에 맞고, 불에 데여도 통증을 전혀 느끼지 못하는 그가 사랑하는 여자 셰리를 구하기 위해 펼치는 신개념 논스톱 無통 액션 영화","No Pain, No Love (고통이 없으면, 사랑도 없다) | 보는 내 손이 다 아프다 | 이런게 팝콘무비지~!! 하면서 즐겨보기엔 잔인했지만 ㅋㅋ 재밌게 본 영화 | 무빙 차기작에 류승룡 파트너로 나와도 되겠는데.. | 내 몸이 다 아픈 느낌이지만 적당하게 즐겼다 | 참신한 설정이 그저 그런 액션 코미디물로 낭비되었다. | 노보케인 마취제같은 주인공의 무통각증액션이 너무 좋았어요 | 이 정도면 안 죽는게 용하다 | 사실 스토리는 별거 없는데 고통을 느끼지 못한다는 주인공의 특이한 설정 때문에 재밌음 ㅋㅋ 비록 그 고통들을 관객들이 몸소 느껴야만 하지만.. 킬링타임용 액션 코미디 팝콘무비! | 상처는 안 아픈데 사랑은 좀 아플걸?","잭 퀘이드, 엠버 미드썬더, 제이콥 배덜런, 베티 가브리엘, 맷 월쉬, 레이 니콜슨, 에반 헹스트, 콘래드 켐프, 크레이그 잭슨, 루 비티 주니어, 가스 콜린스, 트리스탄 드 비어, 제시카 스탠리",,2025년 03월 12일 개봉,110분,,Novocaine,
64,럭키 원,36720,영화,https://m.kinolights.com/title/36720,"미스터리, 멜로/로맨스, 서사/드라마",,,,15세 이상 관람가,미국,2012년,"미 해군 출신의 로건 타이볼트는 이라크에서 군 복무 중, 먼지에 반쯤 묻힌 사진에서 미소 짓는 여인을 발견한다. 그는 사진의 주인을 찾아 주려 하지만 아무도 사진을 찾는 이는 없다. 그는 하는 수없이 사진을 지니고 다니는데, 그때부터 그에게 놀라운 행운이 깃들기 시작한...","운명과 사랑의 모태를 극적으로 그려내는 건 좋지만, 밝음과 어두움이 지나치게 신파적이다. 차라리 TV 연속극이라면 이해될 거 같다. | 영화 자체의 떨어지는 재미를 소소한 매력으로 받쳐낸다.","잭 에프론, 테일러 쉴링, 라일리 토머스 스튜어트, 블리드 대너, 제이 R. 퍼거슨, 아담 르페브리, 블리드 대너, 조 크레스트, 질리안 배서슨, 샤론 콘리, 러셀 더햄 코메기스, 더글러스 M. 그리핀, 리치 몽고메리, 로버트 헤이스",,,101분,,The Lucky One,
65,2반 이희수,142300,드라마,https://m.kinolights.com/title/142300,"멜로/로맨스, 서사/드라마",2025년 03월 08일,10부작,헤븐리,12세 이상 시청가,한국,2025년,사랑도 우정도 쉬운 게 하나 없는 K-고딩 희수의 파란만장 청춘 성장 로맨스!,,"안지호, 조준영, 김도연, 이상준",,,,,,
66,플로우,133860,"영화, 애니메이션",https://m.kinolights.com/title/133860,"판타지, 어드벤처, 애니메이션",,,,전체 관람가,"벨기에, 라트비아, 프랑스",2024년,"대홍수가 덮친 직후 지구의 어느 곳. 고양이, 래브라도, 여우원숭이와 같은 여러 동물이 표류하는 배에서 함께 살게 된다.","자꾸 고양이가 물에 빠지고요. 여우원숭이는 물건 줍고요. 카피바라는 의젓하고요. 래브라도는 귀여워요. 새가 드라이브 마이 보트를 해요. - 29th BIFF | 우리 역시 지구에 사는 동물 중 하나일 뿐이라는 것을, 지구의 모든 생물은 한 배에 타고 있음을 잊지 말자 | 물처럼 밀려오는 시련 따위, 흐름에 몸을 맡기고 야옹 | 물과 기름과 같은 관계였지만 그들도 흘러간다 함께. | 대사 한 줄 없이 마음을 뒤흔드는 동물들의 표류기 | 대사한마디 없어도 이렇게 아름다운 영화가 만들어지나 싶어요! 동물들의 연기(?)가 너무나 재밌고 마음에 와닿아서 아카데미상을 받은 이유를 알것같습니다! | 지도없이 시작한 부유(浮遊)한 여정 속 알 수 없는 만남과 오해의 연속은 어느 순간 고독을 잊게한 소중한 인연이었음을 마침내 깨닫던 모든 이들의 필연적 항해일지. | 뻔한요구의 감동같지만 알면서도 박수칩니다. | 동물들을 통해 은유한 세상의 축소판 | 뭔가 시점 때문인가 멀미가 느껴지네요 멀미 잘 느끼시는 분들은 멀미약 먹고 보세요",,,2025년 03월 19일 개봉,83분,,Straume,
67,퇴마록,131797,"영화, 애니메이션",https://m.kinolights.com/title/131797,"액션, 판타지, 스릴러, 미스터리, 공포(호러)",,,,12세 이상 관람가,한국,2024년,"수백 년간 은거하던 해동밀교의 145대 교주가 생명을 제물로 바쳐 절대 악(惡)의 힘을 얻기 위한 의식을 시작한다. 해동밀교의 다섯 호법들은 그를 막기 위해 힘을 보태줄 새로운 인물을 찾아나서고, 파문 당한 신부 박윤규, 무공을 위해 밀교를 찾은 현암, 사건의 중심에 ...","매년 <퇴마록> 시리즈의 극장 개봉 소식을 듣고 싶다 | 원작을 안 읽고 영화를 봤는데 왜 원작이 1000만부나 팔렸는지 알것 같아요! 진짜 굳이 아쉬운점 한 개 뽑으면 러닝타임이 조금 짧은것 같아요😅 | 원조 K-오컬트, '전설의 부활' | 지금보다 더 잘 되어야 하는 시금석 | 전설의 톼마록이 제대로 부활했네요~ 흥행 잘 되서 퇴마록 시리즈로 속편 연속 만들어지길 | 기억 속에 희미해졌지만 영화를 보는 순간 다시 살아나는 기억에 감동도 같이 살아났다. | 볼만했다. 퇴마록을 처음 접해봐서 크게 감흥은 없었다. 속편은 나오면 볼 것이다. | 캐릭터 디자인과 애니메이션은 좋았으나, 서교주와의 싸움까지의 빌드업이 부족했다고 생각했다. 그리고 호법들이 너무 간단히 죽어나간게 개인적으로 많이 아쉬웠다. 다음편이 기대된다. | 이렇게 스타일리쉬한 국산 애니 무비라니… 심장이 뜨거워집니다. 퇴마록 소설 원작이니 스토리 탄탄한 건 말 할 것도 없구요. 속편도 조속히 주세요. | 2편 빨리 줘요 현기증 나요","남도형, 최한, 정유정, 김연우, 홍승효, 황창영, 김민주, 표영재",,2025년 02월 21일 개봉,85분,,,
68,리얼,1616,영화,https://m.kinolights.com/title/1616,액션,,,,청소년 관람불가,한국,2016년,"카지노 ‘시에스타’ 오픈을 앞둔 조직의 보스 장태영 앞에 암흑가 대부 조원근이 카지노의 소유권을 주장하며 나타난다. 조원근의 개입으로 카지노를 빼앗길 위기에 처한 장태영은 자금 문제를 해결하기 위해 투자자를 찾아 나선다. 어느 날, 이름뿐만 아니라 생김새마저 똑같은 ...",이 영화를 이해할려면 몇년이 걸릴 까요? | 어라 0점은 못 주네. | 이 촬영물을 보고 온 내가 리얼이었다. | Nice Try K-Diddy | 이건 뭐 찾아가서 줘 팰 수도 없고 으~~~~~~ | 115억 원짜리 똥 | 친구들과 다같이 뭐 이런 영화가 다 있냐? 하는 목적으로 보는거외에는 볼 일이 절대 없을 영화 대다수 사람들이 보지 말라고 하는데에는 다 이유가 있다 왜 있는지 모를 장면이 가득함 | 별 반개도 아까운 최악의 영화 | 0.5 | 연출 경험도 없는 형을 꽂아넣은 김수현. 한국영화의 민낯.,"김수현, 이성민, 성동일, 설리, 조우진, 김홍파, 정인겸, 최권, 한지은, 김선아, 고규필, 아이유",,2017년 06월 28일 개봉,137분,,,
69,미션 임파서블: 폴아웃,64792,영화,https://m.kinolights.com/title/64792,"액션, 스릴러, 어드벤처",,,,15세 이상 관람가,"미국, 중국, 프랑스, 노르웨이, 영국",2018년,"전 세계 최강의 스파이 기관 IMF의 최고 요원 에단 헌트와 그의 팀은 테러조직의 핵무기 소지를 막기 위해 미션에 착수한다. 에단 헌트는 작전 수행 중 예상치 못한 결단을 내리게 되고, 중앙정보국 CIA는 그를 견제하기 위해 상급 요원 어거스트 워커를 파견한다. 최악의...","[미션 임파서블: 폴아웃] 에단 헌트와 톰 크루즈의 동일시 | 톰크루즈 연봉받는 이유 있다 | 톰 아저씨는 여전히 멋있다 | 한줄평 - 이젠 반박의 여지 없이 최고의 첩보영화 시리즈 | 시리즈의 매력을 최대로 끌어올리다 | 아니 어떻게 시리즈가 이거만 해도 얼마나 많이 나왔는데 액션이 새롭고 스토리고 신선하며 지루할 틈이 없는 전개가 나올 수 있는지 감독님에게 여쭤보고 싶네요. | 기대할 수 있는 재미를 주는 스파이 액션 | 지속적인 반복의 이야기이지만 그런대로 볼만. 개연성은 AI에 맡겨버렸어. | 시리즈 최고 수준의 각본과 더불어 액션이란 액션은 전부 다 하는, 그야말로 '익사이팅'한 영화적 체험. | 6편까지 왔는데 시리즈가 거듭될수록 점점 더 재밌어지는 보기 드문 시리즈","톰 크루즈, 헨리 카빌, 사이먼 페그, 레베카 퍼거슨, 빙 라메스, 안젤라 바셋, 숀 해리스, 알렉 볼드윈, 바네사 커비, 미셸 모나한, 웨스 벤틀리, 프레드릭 슈미트, 리앙 양, 크리스토퍼 요너, 알릭스 베네제흐",,2018년 07월 25일 개봉,147분,,Mission: Impossible - Fallout,
